species_name,itrdb_species_code,wood_type,leaf_habit,tree_ring_structure
Aucoumea klaineana Pierre,AUKL,,,
Austrocedrus chilensis (D. Don) Florin & Boutelje,AUCH,,,
Balanites aegyptiaca Del.,BAAE,,,
Beilschmiedia tawa (A. Cunn.),BLTA,,,
Berberis vulgaria L.,BBVU,,,
Bertholletia excelsa H.B.K.,BTEX,,,
Betula L.,BESP,,,
Betula albosinensis Burk.,BEAB,,,
Betula alleghaniensis Britton,BEAL,,,
Betula ermanii Cham.,BEER,,,
Betula glandulosa Michx.,BEGL,,,
Betula grossa Sieb. & Zucc.,BEGR,,,
Betula lenta L.,BELE,,,
Betula nigra L.,BENI,,,
Betula papyrifera Marsh.,BEPA,,,
Betula papyrifera var. neoalaskana (Sarg.) Raup,BEAK,,,
"Betula pendula Roth = Betula verrucosa Ehrl. silver birch, European white birch",BEPE,angiosperm,deciduous,diffuse-porous
Betula platyphylla Suk.,BEPL,,,
Betula populifolia Marsh.,BEPO,,,
Betula pubescens Ehrh.,BEPU,,,
Betula utilis D.Don,BEUT,,,
Betula verrucosa Ehrl.,BEVE,,,
Bombacopsis quinata (Jaqu.) Dugand,BOQU,,,
Bombax malabaricum DC.,BOMA,,,
Bursera graveolens (Kunth) Triana & Planch.,BUGR,,,
Bursera simaruba (L.) Sarg.,BUSI,,,
Buxus sempervirens L.,BUSE,,,
Callitris Ventenat,CASP,,,
Callitris columellaris F. Muell.,CACO,,,
Callitris intratropica Baker & Smith,CAIN,,,
Callitris macleayana (F. Muell.) F. Muell,CAMA,,,
Callitris preissii Miq.,CAPR,,,
Callitris robusta R. Br. ex Bailey = Callitris preissii Miq.,CARO,,,
Calocedrus decurrens (Torr.) Florin,CADE,,,
Canthium burttii,CABU,,,
Capparis scabrida Kunth,CASC,,,
Carapa procera C.DC.,CAPC,,,
Carpinus betulus L.,CPBE,,,
Carya Nutt.,CYSP,,,
Carya cordoformis (Wangenh.) K. Koch,CYCO,,,
Carya glabra (Mill.) Sweet,CYGL,,,
Carya illinoensis (Wagenh.) K. Koch,CYIL,,,
Carya ovata (Mill.) K. Koch,CYOV,,,
Carya tomentosa (Poir.) Nutt.,CYTO,,,
Caryocar glabrum Aubl.,CAGL,,,
Castanea crenata Sieb. & Zucc.,CACR,,,
Castanea dentata (Marsh.) Borkh.,CADN,,,
Castanea sativa Mill.,CASA,angiosperm,deciduous,ring-porous
Casuarina litoralis Salisb.,CSLI,,,
Catalpa speciosa Warder ex Engelm.,CTSP,,,
Ceanothus crassifolius Torr.,CNCR,,,
Cedrela P.Br.,CESP,,,
Cedrela angustifolia Sesse & Mocino ex DC.  cedro salteno,CEAN,,,
Cedrela fissilis Vell.,CEFI,,,
Cedrela lilloi C. DC.,CELI,,,
Cedrela odorata L.,CEOD,,,
Cedrela toona Roxb. ex. Rottler = Toona australis (F. Muell.),CETO,,,
Cedrus Trew,CDSP,,,
Cedrus atlantica (Endl.) Manetti,CDAT,,,
Cedrus brevifolia Henry = Cedrus libani var. Brevifolia,CDBR,,,
Cedrus deodara (D. Don) G. Don,CDDE,,,
Cedrus libani A. Richard,CDLI,,,
Celtis L.,CLSP,,,
Celtis australis L.,CLAU,,,
Celtis caucasica Willd.,CLCA,,,
Celtis laevigata Willd.,CLLA,,,
Celtis occidentalis L.,CLOC,,,
Celtis reticulata Torr.,CLRE,,,
Cephalanthus occidentalis L.,CEOC,,,
Cercidium microphyllum (Torr.) Rose & Johnst.,CEMI,,,
Cercocarpus Kunth,CRSP,,,
Cercocarpus betuloides Nutt.,CRBE,,,
Cercocarpus ledifolius Nutt.,CRLE,,,
Cercocarpus montanus Raf.,CRMO,,,
Chamaecyparis formosensis Matsum.,CHFO,,,
"Chamaecyparis nootkatensis (D. Don) Spach Alaska yellow-cedar, Nootka cypress",CHNO,,,
"Chamaecyparis obtusa (Sieb. & Zucc.) Endl.  hinoki cypress, Formosan cypress",CHOB,,,
Chamaecyparis pisifera Sieb. & Zucc.,CHPI,,,
Chamaecyparis thyoides (L.) B.S.P.,CHTH,,,
Chlorophora excelsa Benth. & Hook.f.,CLEX,,,
Chorisia speciosa St. Hil.,CHSP,,,
Citharexylum fruticosum L.,CIFR,,,
Copaifera coleosperma Benth.,COCO,,,
Cordia alliodora Oken,COAL,,,
Cordia apurensis Agostini,COAP,,,
Cordia bicolor A.DC.,COBI,,,
Cordia elaeagnoides DC.,COEL,,,
Cordia trichotoma Vell.,COTR,,,
Cornus L.,COSP,,,
Cornus florida L.,COFL,,,
Cornus sanguinea,COSA,,,
Corylus avellana L.,COAV,,,
Corylus sieboldiana,COSI,,,
Cotinus coggygria Scop.,CTCO,,,
Cotoneaster Medik.,CTSP,,,
Crataegus azarolus L.,CRAZ,,,
Crataegus monogyna,CRMO,,,
Cryptomeria japonica (L. f.) D. Don,CMJA,,,
Cupressus arizonica Greene,CUAZ,,,
Cupressus atlantica Gaussen,CUAT,,,
Cupressus dupreziana Camus,CUDU,,,
Cupressus gigantea Cheng & L.K. Fu,CUGI,,,
Cupressus glabra Sudworth,CUGL,,,
Cupressus lusitanica Mill.,CULU,,,
Cupressus sempervirens L.,CUSE,,,
Cyrilla racemiflora L.,CYRA,,,
"Dacrycarpus dacrydioides (A. Rich.) Laubenf. kahikatea, white pine",DADA,,,
Dacrydium bidwillii,DABD,,,
Dacrydium biforme (Hook.) Pilger = Halocarpus biformis Hook.,DABI,,,
Dacrydium colensoi Hook. = Lagarostrobos colensoi (Hook.) C.J.,DACO,,,
Dacrydium cupressinum Lamb.,DACU,,,
Dacrydium franklinii Hook f.,DAFR,,,
Dicorynia guianensis Amsh.,DIGU,,,
Diospyros virginiana L.,DSVI,,,
Discaria toumatou Raoul,DITO,,,
Discaria trinervis Reiche.,DITR,,,
Dracophyllum latifolium Cunn.,DRLA,,,
Drimys winteri J.R. & G. Forst,DRWI,,,
Duschenkia viridis Opiz = Betula ovata Schrank,DUVI,,,
Dysoxylum malabaricum Bedd.,DYMA,,,
Elaeoluma glabrascens (C. Mart. & Eichler) Aubrév.,ELGL,,,
Empetrum rubrum Vahl ex. Willd.,EMRU,,,
Enkianthus campanulatus (Miq.) Nichols,ENCA,,,
Entandrophragma angolense C.DC.,ENAN,,,
Entandrophragma candollei Harms,ENCA,,,
Entandrophragma cylindricum Sprague,ENCY,,,
Entandrophragma utile Sprague,ENUT,,,
Eucalyptus camaldulensis Dehnh.,EUCA,,,
Eucalyptus delegatensis R. Baker,EUDE,,,
Eucalyptus globulus Labill.,EUGL,,,
Eucalyptus marginata Donn. ex Sm.,EUMA,,,
Eucalyptus miniata Cunn. ex Shauer,EUMI,,,
Eucalyptus nesophila Blakely,EUNE,,,
Eucalyptus oreades R.T. Baker,EUOR,,,
Eucalyptus pauciflora Sieb.,EUPA,,,
Eucalyptus stellulata Sieb. ex DC,EUST,,,
Eucalyptus tetradonta F. Muell.,EUTE,,,
Eucalyptus viminalis Labill.,EUVI,,,
Eucryphia cordifolia Cav.,EUCO,,,
Eugenia jambolana Lam.,EUJA,,,
Exocarpus cuppressiforme Labill.,EXCU,,,
Fagus L.,FASP,,,
Fagus grandifolia Ehrh.,FAGR,,,
Fagus orientalis Lipsky,FAOR,angiosperm,deciduous,diffuse-porous
Fagus sylvatica L.,FASY,angiosperm,deciduous,diffuse-porous
Ficus L.,FCSP,,,
Fitzroya cupressoides (Molina) Johnston,FICU,,,
Fraxinus L.,FRSP,,,
Fraxinus americana L.,FRAM,,,
Fraxinus caroliniana Mill.,FRCA,,,
Fagus crenata Blume,FACR,,,
Fraxinus excelsior L.,FREX,,,
Fraxinus mandshurica Rupr.,FRMA,,,
Fraxinus nigra Marsh.,FRNI,,,
Fraxinus pennsylvanica Marsh.,FRPE,,,
Fraxinus spaethiana Lingelsh.,FRSP,,,
Fraxinus velutina Torr.,FRVE,,,
Gevuina avellana,GEAV,,,
Gingko biloba L.,GIBI,,,
Gleditsia triacanthos L.,GLTR,,,
Gmelina arborea Roxb.,GMAR,,,
Gordonia lasianthus (L.) Ellis,GOLA,,,
Goupia glabra Aubl.,GOGL,,,
Grevillea victoriae F. Muell.,GRVI,,,
Guarea cedrata Pellegr.,GUCE,,,
Halocarpus bidwillii,HABD,,,
Halocarpus biformis (Hook.) Quinn,HABI,,,
Halocarpus kirkii,HAKI,,,
Hamamelis virginiana L.,HAVI,,,
Hedycaria angustifolia A. Cunn.,HEAN,,,
Heteromeles arbutifolia (Lindl.) M.J. Roem.,HEAR,,,
Hevea brasiliensis (Wild. ex Adr. de Juss.) Muell. Arg.,HEBR,,,
Ilex aquifolium L.,ILAQ,,,
Ilex cassine L.,ILCA,,,
Ilex coriacea (Pursh) Chapm.,ILCO,,,
Ilex glabra (L.) Gray,ILGL,,,
Ilex inundata Poepp. ex Reisseck,ILIN,,,
Ilex opaca Ait.,ILOP,,,
Jacaranda copaia D.Don,JACO,,,
Juglans australis Griseb.,JGAU,,,
Juglans cinerea L.,JGCI,,,
Juglans nigra L.,JGNI,,,
Juglans regia L.,JGRE,,,
Juniperus L.,JUSP,,,
Juniperus chinensis L.,JUCH,,,
Juniperus communis L.,JUCO,,,
Juniperus deppeana Steud.,JUDE,,,
Juniperus drupacea Labill.,JUDR,,,
Juniperus excelsa Bieb.,JUEX,,,
Juniperus foetidissima Willd.,JUFO,,,
Juniperus macropoda Boiss.,JUMA,,,
Juniperus monosperma (Emgelm.) Sarg.,JUMO,,,
Juniperus occidentalis Hook.,JUOC,,,
Juniperus osteosperma (Torr.) Little,JUOS,,,
Juniperus oxycedrus L.,JUOX,,,
Juniperus phoenicea L.,JUPH,,,
Juniperus pinchotii Sudw.,JUPI,,,
Juniperus procera Hochst. ex Endl.,JUPC,,,
Juniperus przewalskii Kom.,JUPR,,,
Juniperus recurva Buch.-Ham. ex D. Don,JURE,,,
Juniperus scopulorum Sarg.,JUSC,,,
Juniperus semiglobosa Regel,JUSM,,,
Juniperus seravschanica Komar.,JUSE,,,
Juniperus thurifera L.,JUTH,gymnosperm,evergreen,conifer
Juniperus turkestanica Komar.,JUTU,,,
Juniperus virginiana L.,JUVI,,,
Khaya grandifolia C.DC.,KHGR,,,
Krenevaja drevesina,KRDR,,,
Kunzea ericoides (A. Rich.) J. Thompson,KUER,,,
Labatia glomerata,LBGL,,,
Laburnum anagyroides Medik.,LBAN,,,
Lagarostrobus colensoi (Hook.) C.J. Quinn = Dacrydium colensoi Hook.,LGCO,,,
Lagarostrobus franklinii C.J. Quinn,LGFR,,,
Lagerstroemia flos-reginae Retz.,LSFL,,,
Lagerstroemia parviflora Roxb.,LSPA,,,
Lagerstroemia lanceolata Wall.,LSLA,,,
Larix Mill.,LASP,,,
Larix decidua Mill.,LADE,gymnosperm,deciduous,conifer
Larix gmelinii (Rupr.) Litvin.,LAGM,gymnosperm,deciduous,conifer
Larix griffithiana (Lindl. & Gord.) Carr.,LAGR,,,
Larix japonica Carr.,LAJA,,,
Larix laricina (Du Roi) K. Koch,LALA,,,
Larix lyalli Parl.,LALY,,,
Larix occidentalis Nutt.,LAOC,,,
Larix potanini Batal.,LAPO,,,
Larix sibirica Ledeb.,LASI,gymnosperm,deciduous,conifer
Laurelia philippiana Looser,LAPH,,,
Laurelia sempervirens Tul.,LASE,,,
Laxopterigium huasango,LAHU,,,
Lecythis corrugata Poit.,LECO,,,
Lepidothamnus intermedius (Kirk) Quinn,LEIN,,,
Leptospermum flavescens Sm.,LEFL,,,
Leptospermum scoparium Forster & Forster f.,LESC,,,
Libocedrus Endl. incense-cedar,LISP,,,
Libocedrus bidwillii Hook. f.,LIBI,,,
Libocedrus plumosa (D.Don) Sarg.,LIPL,,,
Ligustrum vulgare L.,LGVU,,,
Liquidambar styraciflua L.,LIST,,,
Liriodendron tulipifera L.,LITU,,,
Lomatia fraseri R.Br.,LOFR,,,
Lomatia hitsuta (Lam.) Diel ex. Macbr.,LOHI,,,
Lonicera xylosteum L.,LOXY,,,
Lovoa trichilioides Harms,LOTR,,,
Magnolia accuminata L.,MAAC,,,
Magnolia grandiflora L.,MAGR,,,
Magnolia virginiana L.,MAVI,,,
Malus sylvestris L.,MASY,,,
Manilkara bidentata A. Chev.,MABI,,,
Michelia champaca L.,MICH,,,
Michelia niligirica Zenker,MINI,,,
Moronobea coccinea Aubl.,MOCO,,,
Morus alba L.,MOAL,,,
Morus rubra L.,MORU,,,
Myrica cerifera L.,MYCE,,,
Myrica gale L.,MYGA,,,
Nectandra amazonum,NEAM,,,
Notelaea longifolia Vent.,NTLO,,,
Nothofagus alpina (Poepp. & Endl.) Oerst.,NOAL,,,
Nothofagus antarctica (Forst) Oerst.,NOAN,,,
Nothofagus betuloides (Mirb.) Blume,NOBE,,,
Nothofagus cunninghamii Oerst.,NOCU,,,
Nothofagus dombeyi (Mirb.) Blume,NODO,,,
Nothofagus fusca (Hook. f.) Oerst.,NOFU,,,
Nothofagus gunnii (Hook. f.) Oerst.,NOGU,,,
Nothofagus menziesii (Hook. f.) Oerst.,NOME,,,
Nothofagus nervosa Dim. et Mil.,NONE,,,
Nothofagus nitida Reiche,NONI,,,
Nothofagus obliqua (Mirb.) Blume,NOOB,,,
Nothofagus pumilio (Poepp. & Endl.) Oerst.,NOPU,,,
Nothofagus solandri (Hook. f.) Oerst.,NOSO,,,
Nyssa ogechee Bartr. ex Marsh.,NYOG,,,
Nyssa sylvatica Marsh.,NYSY,,,
Ocotea usambarensis Engl.,OCUS,,,
Ostrya carpinifolia Scop.,OSCA,,,
Oxydendrum arboreum (L.) DC,OXAR,,,
Parapiptadenia rigida Benth.,PARI,,,
Parkia auriculata,PAAU,,,
Paulownia tomentosa (Thumb.) Steud.,PATO,,,
Peronema canescens Jack.,PECA,,,
Persea borbonia (L.) Spreng.,PEBO,,,
Persea lingue Nees,PELI,,,
Petrophile linearis R.Br.,PELN,,,
Phoebe porfiria Mez.,PBPO,,,
Phyllocladus alpinus Hook. f.,PHAL,,,
Phyllocladus aspleniifolius (Labill.) Hook. f.,PHAS,,,
Phyllocladus glaucus Carr.,PHGL,,,
Phyllocladus trichomanoides D. Don in Lamb.,PHTR,,,
Picea A. Dietr.,PCSP,,,
Picea abies (L.) Karst.,PCAB,gymnosperm,evergreen,conifer
Picea asperata Mast.,PCAS,,,
Picea balfouriana,PCBA,,,
Picea brachytyla (Franch.) Pritz.,PCBR,,,
Picea cajanensis Lindl. et Gord.,PCCA,,,
Picea chihuahuana Martinez,PCCH,,,
Picea engelmannii Parry ex Engelm.,PCEN,,,
Picea glauca (Moench) Voss,PCGL,,,
Picea glehnii (Fr. Schmidt) Mast.,PCGN,,,
Picea jezoensis (Sieb. & Zucc.) Carr.,PCJE,,,
Picea likiangensis (Franchet) Pritzel,PCLI,,,
"Picea mariana (Mill.) Britt., Sterns & Poggenb.",PCMA,,,
Picea obovata,PCOB,gymnosperm,evergreen,conifer
Picea omorika (Panc.) Purk.,PCOM,,,
Picea orientalis (L.) Link,PCOR,,,
Picea pungens Engelm.,PCPU,,,
Picea purpurea Mast.,PCPR,,,
Picea rubens Sarg.,PCRU,,,
Picea shrenkiana Fisch. & Meyer,PCSH,,,
Picea sitchensis (Bong.) Carr.,PCSI,,,
Picea smithiana (Wall.) Boiss.,PCSM,,,
Picea tienschanica Rupr.,PCTI,,,
Pilgerodendron uviferum (Pilger) Florin,PLUV,,,
Pinus L.,PISP,gymnosperm,evergreen,conifer
Pinus albicaulis Engelm.,PIAL,gymnosperm,evergreen,conifer
Pinus aristata Engelm. in Parry & Engelm.,PIAR,gymnosperm,evergreen,conifer
Pinus armandii Franchet,PIAM,gymnosperm,evergreen,conifer
Pinus balfouriana Grev. & Balf. in A. Murr.,PIBA,gymnosperm,evergreen,conifer
Pinus banksiana Lamb.,PIBN,gymnosperm,evergreen,conifer
Pinus brutia Ten,PIBR,gymnosperm,evergreen,conifer
Pinus bungeana Zucc.,PIBU,gymnosperm,evergreen,conifer
Pinus canariensis Chr. Sm. ex DC,PICN,gymnosperm,evergreen,conifer
Pinus caribaea Mor.,PICA,gymnosperm,evergreen,conifer
Pinus cembra L.,PICE,gymnosperm,evergreen,conifer
Pinus cembroides Zucc.,PICM,gymnosperm,evergreen,conifer
Pinus chihuahuana Engelm.,PICH,gymnosperm,evergreen,conifer
Pinus contorta Dougl. ex Loud.,PICO,gymnosperm,evergreen,conifer
Pinus coulteri D.Don,PICL,gymnosperm,evergreen,conifer
Pinus densata (See note at bottom),PIDN,gymnosperm,evergreen,conifer
Pinus densiflora Sieb. & Zucc.,PIDE,gymnosperm,evergreen,conifer
Pinus echinata Mill.,PIEC,gymnosperm,evergreen,conifer
Pinus edulis Engelm. in Wisliz.,PIED,gymnosperm,evergreen,conifer
Pinus elliottii Engelm.,PIEL,gymnosperm,evergreen,conifer
Pinus engelmannii Carr.,PIEN,gymnosperm,evergreen,conifer
Pinus flexilis,PIFL,gymnosperm,evergreen,conifer
Pinus gerardiana Wall. ex D. Don.,PIGE,gymnosperm,evergreen,conifer
Pinus halepensis Mill.,PIHA,gymnosperm,evergreen,conifer
Pinus heldreichii Christ,PIHE,gymnosperm,evergreen,conifer
Pinus jeffreyi Grev. & Balf. in A. Murr.,PIJE,gymnosperm,evergreen,conifer
Pinus kesiya Royle ex Gordon,PIKE,gymnosperm,evergreen,conifer
Pinus koraiensis Sieb. & Zucc.,PIKO,gymnosperm,evergreen,conifer
Pinus lagunae M.-F. Passini,PILG,gymnosperm,evergreen,conifer
Pinus lambertiana Dougl.,PILA,gymnosperm,evergreen,conifer
Pinus leucodermis Ant.,PILE,gymnosperm,evergreen,conifer
Pinus longaeva D.K. Bailey,PILO,gymnosperm,evergreen,conifer
Pinus massoniana Lamb.,PIMA,gymnosperm,evergreen,conifer
Pinus merkusii Jungh. & De Vriese,PIMK,gymnosperm,evergreen,conifer
Pinus mesogeensis Fieschi & Gaussen,PIME,gymnosperm,evergreen,conifer
Pinus monophylla Torr. & Frem. in Frem.,PIMO,gymnosperm,evergreen,conifer
Pinus montezumae Lamb.,PIMZ,gymnosperm,evergreen,conifer
Pinus monticola Dougl. ex D. Don in Lamb.,PIMC,gymnosperm,evergreen,conifer
Pinus mughus Scop. = Pinus mugo Turra,PIMU,gymnosperm,evergreen,conifer
Pinus mugo Turra,PIMG,gymnosperm,evergreen,conifer
Pinus muricata D.Don,PIMR,gymnosperm,evergreen,conifer
Pinus nigra Arnold,PINI,gymnosperm,evergreen,conifer
Pinus occidentalis Swartz,PIOC,gymnosperm,evergreen,conifer
Pinus oocarpa Schiede,PIOO,gymnosperm,evergreen,conifer
Pinus palustris Mill.,PIPA,gymnosperm,evergreen,conifer
Pinus patula Schiede & Deppe,PIPT,gymnosperm,evergreen,conifer
Pinus peuce Griseb.,PIPE,gymnosperm,evergreen,conifer
Pinus pinaster Ait.,PIPI,gymnosperm,evergreen,conifer
Pinus pinea L.,PIPN,gymnosperm,evergreen,conifer
Pinus ponderosa Dougl. ex Laws.,PIPO,gymnosperm,evergreen,conifer
Pinus pumila (Pall.) Regel,PIPM,gymnosperm,evergreen,conifer
Pinus pungens Lamb.,PIPU,gymnosperm,evergreen,conifer
Pinus quadrifolia Parl. ex Sudw.,PIQU,gymnosperm,evergreen,conifer
Pinus radiata D. Don,PIRA,gymnosperm,evergreen,conifer
Pinus resinosa Ait.,PIRE,gymnosperm,evergreen,conifer
Pinus rigida Mill.,PIRI,gymnosperm,evergreen,conifer
Pinus roxburghii Sarg.,PIRO,gymnosperm,evergreen,conifer
Pinus sibirica Du Tour,PISI,gymnosperm,evergreen,conifer
Pinus strobiformis Engelm.,PISF,gymnosperm,evergreen,conifer
Pinus strobus L.,PIST,gymnosperm,evergreen,conifer
Pinus sylvestris L.,PISY,gymnosperm,evergreen,conifer
Pinus tabulaeformis Carr.,PITB,gymnosperm,evergreen,conifer
Pinus taeda L.,PITA,gymnosperm,evergreen,conifer
Pinus thunbergii Parl.,PITH,gymnosperm,evergreen,conifer
Pinus torreyana Parry ex Carr.,PITO,gymnosperm,evergreen,conifer
Pinus uncinata Mill. ex Mirb. in Buffon,PIUN,gymnosperm,evergreen,conifer
Pinus virginiana Mill.,PIVI,gymnosperm,evergreen,conifer
Pinus wallichiana A.B. Jackson,PIWA,gymnosperm,evergreen,conifer
Pisonia grandis R.Br.,PSGR,,,
Pistacia L.,PTSP,,,
Pistacia atlantica Desf.,PTAT,,,
Pistacia khinjuk Stocks.,PTKH,,,
Pistacia palaestina Boiss.,PTPA,,,
Pistacia vera L.,PTVE,,,
Platanus acerifolia (Ait.) Willd.,PLAC,,,
Platanus occidentalis L.,PLOC,,,
Platanus orientalis L.,PLOR,,,
Platonia insignis Mart.,PLIN,,,
Platyeladus orientalis,PLOR,,,
Polyscias sambucifolius (Sieber ex DC.) Harms,PYSA,,,
Podocarpus L'Heritier ex Persoon,POSP,,,
Podocarpus falcatus (Thumb.) Br.,POFA,,,
Podocarpus hallii Kirk,POHA,,,
Podocarpus lawrencei Hook. f.,POLA,,,
Podocarpus neriifolius D.Don,PONE,,,
Podocarpus nivalis Hook.,PONI,,,
Podocarpus nubigensus Lindl. ex Paxt,PONU,,,
Podocarpus parlatorei Podocarpus spicatus,POPA,,,
Podocarpus totara D. Don,POTO,,,
Populus L.,PPSP,,,
Populus alba L.,PPAL,,,
Populus angustifolia James,PPAN,,,
Populus balsamifera L.,PPBA,,,
Populus deltoides Bartr. ex Marsh.,PPDE,,,
Populus euphratica Oliv.,PPEU,,,
Populus fastigiata,PPFA,,,
